POS	exp01	exp10
1	24.73	87.83
2	4.099	3.273
3	2.246	21.58
4	29.11	31.96
5	28.94	39.99
6	5.773	3.937
7	28.22	41.51
8	12.63	35.01
9	24.71	60.61
10	14.29	39.27
11	7.992	21.02
12	0.7178	11.32
13	8.376	37.68
14	22.55	6.452
15	18.1	24.22
16	6.14	45.53
17	10.79	51.74
18	12.1	6.562
19	8.415	20.99
20	5.795	22.7
21	21.94	35.6
22	4.988	26.08
23	12.48	42.37
24	1.647	22.08
25	2.359	4.32
26	14.15	46.29
27	24.16	43.98
28	6.692	22.26
29	13.71	39.27
30	14.18	12.19
31	4.006	10.73
32	27.37	46.93
33	22.56	25.75
34	9.113	63.29
35	5.01	11.57
36	22.28	30.43
37	7.516	7.885
38	3.218	1.939
39	3.517	21.79
40	4.079	18.75
41	8.859	4.393
42	26.52	31.47
43	2.786	11.28
44	0.8675	22.8
45	3.346	5.618
46	5.777	51.88
47	10.15	56.76
48	25.84	59.31
49	12.44	10.53
50	13.06	45.47
51	11.16	23.77
52	8.042	8.799
53	15.6	44.88
54	1.957	4.909
55	7.74	56.12
56	11.11	18.7
57	13.85	19.13
58	13.02	10.14
59	6.242	7.608
60	10.44	13.61
61	2.837	1.087
62	16.17	25.24
63	5.977	10.82
64	11.33	21.11
65	5.166	14.95
66	7.708	7.432
67	16.97	50.18
68	11.8	15.54
69	9.536	13.1
70	4.879	34.46
71	6.997	14.9
72	15.57	55.25
73	13.07	45.55
74	9.392	9.581
75	8.509	6.419
76	8.092	23.92
77	28.84	19.73
78	7.805	46.33
79	6.241	50.02
80	13.02	44.84
81	17.8	76.05
82	5.501	43.55
83	2.002	1.375
84	6.352	34.37
85	6.916	39.21
86	18.06	49.36
87	5.047	2.784
88	18.43	69.67
89	20.7	32.05
90	3.144	1.773
91	1.254	8.165
92	3.367	6.43
93	10.76	44.46
94	12.01	11.1
95	9.365	58.84
96	8.097	35.48
97	11.03	12.57
98	7.035	21
99	17.69	20.95
100	1.474	24.3
101	8.135	44.47
102	1.46	0.4831
103	27.19	33.63
104	1.992	1.212
105	1.792	7.103
106	10.4	57.49
107	2.554	6.858
108	16.7	35.41
109	17.76	33.83
110	13.28	6.444
111	2.129	16.1
112	4.141	51.5
113	4.141	51.5
114	4.327	18.02
115	8.908	11.19
116	6.22	13.88
117	7.916	12.56
118	6.77	34.28
119	6.77	34.28
120	4.231	11.49
121	6.715	5.988
122	3.003	2.555
123	6.535	15.25
124	2.789	2.123
125	4.804	14.45
126	8.547	8.548
127	6.346	9.794
128	8.547	8.548
129	4.32	25.03
130	12.08	15.23
131	7.151	33.92
132	1.912	1.11
133	2.272	3.495
134	1.427	16.8
135	23.9	29.69
136	10.57	12.67
137	2.538	0.6274
138	2.37	3.091
139	1.912	1.11
140	26.44	12.94
141	1.946	1.089
142	3.602	9.248
143	9.238	5.585
144	7.609	25.14
145	7.175	17.75
146	1.242	17.19
147	1.404	18.11
148	1.606	20.03
149	7.806	11.4
150	26.07	18.34
151	12.04	7.244
152	12.09	7.453
153	7.677	3.342
154	23.32	59.11
155	10.06	39.16
156	4.881	40.71
157	6.793	21.49
158	0.7935	15.65
159	10.19	7.41
160	2.252	3.803
161	13.92	47.86
162	3.172	6.651
163	24.7	30.64
164	14.57	74.45
165	8.464	46.98
166	12.34	39.72
167	5.796	27.15
168	2.459	5.956
169	2.629	5.242
170	3.38	9.002
171	14.14	64.3
172	1.895	18.43
173	12.16	17.43
174	9.371	37.17
175	2.002	1.21
176	2.636	30.09
177	6.321	30.6
178	6.321	30.6
179	7.935	37.97
180	12.47	30.43
181	3.962	12.34
182	13.82	15.9
183	28.06	30.34
184	5.747	23.52
185	1.979	1.09
186	11.58	40.61
187	13.92	63.21
188	3.144	2.194
189	10.16	44.2
190	3.655	50.31
191	6.821	35.46
192	6.821	35.46
193	3.351	1.784
194	2.419	7.3
195	5.07	2.842
196	4.997	2.8
197	3.584	20.12
198	2.001	1.214
199	10.9	14.38
200	4.543	31.72
201	10.06	33.18
202	1.96	1.221
203	1.669	22.08
204	7.588	21.52
205	8.6	23.92
206	3.561	24.6
207	3.561	24.6
208	5.71	19.17
209	5.837	20.36
210	10.43	23.92
211	7.588	21.52
212	10.35	27.6
213	8.556	24.04
214	7.588	21.52
215	8.327	22
216	7.388	20.37
217	7.588	21.52
218	9.102	12.7
219	18.94	56.94
220	2.744	9.11
221	11.12	57.76
222	4.962	53.52
223	14.03	17.71
224	3.802	16.43
225	9.12	16.64
226	4.269	3.221
227	19.03	59
228	16.12	65.34
229	16.12	65.34
230	12.38	63.6
231	17.17	67.19
232	6.62	58.22
233	12.29	35.49
234	5.675	19.35
235	4.559	10.22
236	8.887	24.66
237	2.807	6.272
238	5.269	1.933
239	3.355	1.702
240	4.285	36.94
241	1.95	15.23
242	7.258	7.404
243	7.258	7.404
244	1.897	0.9976
245	10.94	47.68
246	10.87	47.67
247	14.87	55.51
248	1.475	1.742
249	23.17	25.97
250	9.744	7.124
251	2.561	3.102
252	3.718	46.11
253	2.509	51.19
254	7.61	56.42
255	16.35	27.56
256	6.644	50.35
257	5.113	6.859
258	9.372	64.95
259	13.18	16.4
260	3.265	1.716
261	3.277	45.03
262	2.96	45.24
263	1.95	1.195
264	3.22	1.939
265	3.224	1.715
266	5.879	3.585
267	9.761	9.321
268	1.923	14.61
269	9.612	8.788
270	8.543	22.52
271	10.31	10.87
272	6.768	56.07
273	12.52	39.22
274	17.41	33.06
275	7.054	9.715
276	3.823	3.375
277	10.77	20.03
278	1.952	1.077
279	5.163	44.33
280	9.618	5.632
281	8.869	38.32
282	11.26	38.04
283	8.001	31.42
284	6.584	33.05
285	1.64	0.9905
286	8.69	11.65
287	1.64	0.9905
288	3.019	8.423
289	5.249	25.33
290	2.945	6.768
291	9.597	38.05
292	10.82	40.31
293	3.225	1.764
294	1.827	2.091
295	7.924	7.974
296	8.074	22.4
297	3.244	1.646
298	3.101	1.269
299	2.306	3.782
300	26.35	49.16
301	3.353	33.47
302	18.29	48.68
303	2.663	3.47
304	29.07	91.09
305	12.94	14.66
306	8.639	22.91
307	19.26	22.69
308	5.505	36.31
309	3.128	6.451
310	11.53	5.84
311	7.31	22.28
312	3.494	12.22
313	3.09	1.331
314	1.995	1.433
315	2.323	3.241
316	15.9	9.072
317	2.504	8.523
318	6.353	42.75
319	2.461	7.4
320	2.709	9.566
321	11.14	3.538
322	2.556	3.507
323	2.407	21.19
324	2.922	16.01
325	1.824	0.9355
326	2.585	8.397
327	7.088	2.452
328	9.394	23.9
329	12.45	7.88
330	3.578	10.48
331	6.75	15.68
332	5.723	20.61
333	4.809	24.78
334	1.972	2.36
335	9.121	6.498
336	22.03	5.342
337	16.14	38.1
338	1.3	14.92
339	1.616	0.6592
340	9.194	3.455
341	4.779	45.01
342	25.5	36.31
343	3.696	2.803
344	9.028	54.42
345	5.394	22.76
346	8.596	41.97
347	2.275	1.356
348	4.117	10.77
349	2.915	26
350	3.648	11.21
351	21.75	30.47
352	10.89	22.07
353	1.833	0.9104
354	3.907	10.51
355	20.77	27.06
356	30.78	43.44
357	2.22	14.05
358	8.547	8.548
359	4.967	18.05
360	14.73	11.71
361	3.952	7.007
362	6.376	39.58
363	3.599	19.28
364	11.04	54.05
365	2.837	10.97
366	31.4	32.57
367	9.857	16.28
368	12.03	6.981
369	1.975	1.357
370	30.87	43.83
371	5.359	5.256
372	8.523	7.958
373	7.595	47.25
374	14.19	55.33
375	6.659	7.452
376	3.088	1.406
377	9.465	55
378	12.15	49.49
379	21.66	28.82
380	12.52	32.6
381	7.238	6.275
382	1.823	0.9046
383	1.891	1.106
384	3.916	7.002
385	9.705	16.47
386	15.79	10.05
387	10.21	61.62
388	5.45	28.41
389	4.649	21.82
390	10.02	41.79
391	4.314	7.982
392	12.04	45.59
393	2.646	12.39
394	7.996	22.03
395	9.398	21.64
396	4.147	21.68
397	10.68	44.59
398	10.77	13.51
399	6.095	33.15
400	6.088	11.7
401	6.394	23.03
402	4.73	4.509
403	3.8	5.201
404	4.43	4.358
405	8.306	8.313
406	6.672	9.151
407	3.262	3.659
408	5.197	12.72
409	13.52	45.62
410	6.833	28.85
411	6.176	10.3
412	5.259	10.25
413	9.44	6.594
414	1.922	1.099
415	11.17	35.42
416	6.878	9.064
417	4.384	8.741
418	9.151	9.32
419	7.281	33.21
420	7.78	6.365
421	8.062	19
422	7.933	54.88
423	3.597	6.333
424	8.059	21.36
425	6.272	33.5
