POS	prob01	prob10
1	22.69	82.23
2	4.031	3.182
3	2.237	21.33
4	26.94	29.3
5	26.76	36.72
6	5.666	3.826
7	26	38.19
8	11.52	33.86
9	22.77	56.46
10	13.59	36.54
11	7.921	20.23
12	0.7043	11.08
13	8.037	36.24
14	22.11	6.199
15	17.29	23.34
16	5.982	44.88
17	10.25	49.53
18	11.76	6.236
19	8.253	20.75
20	5.718	22.32
21	21	33.43
22	4.866	25.63
23	11.63	40.76
24	1.631	21.82
25	2.326	4.284
26	12.95	44.18
27	22.22	41.1
28	6.495	21.9
29	12.52	37.32
30	13.66	11.61
31	3.926	10.6
32	25.22	43.7
33	20.95	23.72
34	8.551	61.65
35	4.89	11.43
36	20.56	28.37
37	7.271	7.647
38	3.177	1.896
39	3.487	21.37
40	4.039	18.23
41	8.747	4.291
42	24.43	29.09
43	2.617	11.08
44	0.8577	22.58
45	3.269	5.066
46	5.505	50.83
47	9.539	55.06
48	23.83	55.33
49	12.08	10.14
50	12.37	42.94
51	10.72	23.23
52	7.814	8.532
53	14.85	42.32
54	1.874	4.553
55	7.361	54.23
56	10.61	18.18
57	13.24	18.21
58	12.62	9.69
59	6.141	7.023
60	10.25	13.29
61	2.813	1.062
62	15.19	23.79
63	5.941	10.66
64	10.98	20.63
65	5.069	14.5
66	7.468	7.179
67	15.67	47.98
68	11.58	15.18
69	9.248	12.75
70	4.759	33.62
71	6.786	14.65
72	14.38	52.85
73	11.81	43.2
74	9.202	9.361
75	8.337	6.253
76	7.849	23.57
77	27.62	18.34
78	7.489	45.56
79	6.016	49.08
80	12.26	43.57
81	16.12	71.43
82	5.357	43.13
83	1.979	1.351
84	6.153	33.94
85	6.707	38.75
86	17.32	46.65
87	4.947	2.679
88	16.73	65.51
89	18.6	29.79
90	3.103	1.73
91	1.22	7.807
92	3.203	6.19
93	10.14	42.14
94	11.66	10.72
95	8.746	56.92
96	7.813	34.77
97	10.71	12.2
98	6.955	20.28
99	16.71	19.78
100	1.456	24.03
101	7.789	43.56
102	1.451	0.4759
103	25.13	31.04
104	1.97	1.189
105	1.776	7.074
106	9.809	55.74
107	2.537	6.822
108	15.42	33.39
109	16.56	31.98
110	13.11	6.271
111	2.112	16
112	3.96	50.52
113	3.96	50.52
114	4.244	17.71
115	8.739	10.93
116	6.098	13.61
117	7.768	12.24
118	6.634	33.35
119	6.634	33.35
120	4.179	11.37
121	6.661	5.899
122	2.971	2.516
123	6.343	14.86
124	2.768	2.099
125	4.703	14.13
126	8.319	8.293
127	6.181	9.617
128	8.319	8.293
129	4.249	24.67
130	11.79	14.9
131	6.871	33.09
132	1.89	1.089
133	2.237	3.463
134	1.398	16.47
135	22.05	27.37
136	10.26	12.33
137	2.525	0.6155
138	2.364	3.082
139	1.89	1.089
140	25.25	11.8
141	1.924	1.068
142	3.588	9.175
143	9.102	5.433
144	7.451	24.34
145	6.951	17.33
146	1.23	17
147	1.39	17.9
148	1.593	19.82
149	7.754	11.32
150	24.88	17.19
151	11.88	7.069
152	11.92	7.274
153	7.592	3.249
154	21.36	55.05
155	9.713	38.24
156	4.773	40.18
157	6.652	21.2
158	0.7864	15.59
159	9.903	7.113
160	2.222	3.768
161	13.29	45.29
162	3.146	6.501
163	23.32	28.28
164	13.46	71.24
165	7.824	45.33
166	11.73	37.19
167	5.635	26.5
168	2.423	5.888
169	2.594	5.195
170	3.321	8.922
171	13.1	61.87
172	1.883	18.35
173	11.77	16.9
174	8.84	35.02
175	1.979	1.187
176	2.562	29.74
177	6.187	29.83
178	6.187	29.83
179	7.607	36.72
180	11.92	29.54
181	3.908	11.68
182	13.58	15.6
183	26.44	27.72
184	5.658	22.82
185	1.957	1.068
186	10.89	37.97
187	12.89	60.46
188	3.102	2.151
189	9.695	43.04
190	3.517	49.71
191	6.586	34.89
192	6.586	34.89
193	3.305	1.736
194	2.383	7.249
195	4.969	2.737
196	4.899	2.699
197	3.536	19.67
198	1.979	1.191
199	10.72	14.14
200	4.39	31.09
201	9.461	31.72
202	1.938	1.199
203	1.635	21.97
204	7.448	21.1
205	8.333	23.21
206	3.467	24.13
207	3.467	24.13
208	5.656	18.96
209	5.768	20.11
210	10.05	23.04
211	7.448	21.1
212	9.844	26.33
213	8.283	23.31
214	7.448	21.1
215	8.138	21.47
216	7.282	20.02
217	7.448	21.1
218	8.835	12.15
219	17.48	54.21
220	2.698	9.033
221	10.44	55.76
222	4.813	52.71
223	13.4	17.28
224	3.702	16.21
225	8.85	16.02
226	4.203	3.153
227	17.49	56.45
228	14.85	61.88
229	14.85	61.88
230	11.44	61.01
231	15.75	63.28
232	6.326	57.17
233	11.7	34.8
234	5.555	19.08
235	4.383	9.858
236	8.545	24.08
237	2.641	6.095
238	5.207	1.856
239	3.309	1.654
240	4.105	35.79
241	1.931	15.08
242	7.065	7.161
243	7.065	7.161
244	1.876	0.9777
245	10.15	45.24
246	10.08	45.23
247	14.15	52.82
248	1.468	1.725
249	21.41	24.1
250	9.473	6.838
251	2.527	3.065
252	3.581	45.64
253	2.424	50.72
254	7.254	55.05
255	15.48	26.44
256	6.344	49.31
257	5.001	6.683
258	8.807	62.89
259	12.72	15.89
260	3.222	1.671
261	3.203	44.67
262	2.892	44.62
263	1.929	1.173
264	3.178	1.895
265	3.182	1.672
266	5.777	3.486
267	9.493	8.987
268	1.88	14.5
269	9.324	8.493
270	8.275	22.11
271	10.12	10.66
272	6.475	54.99
273	11.9	37.74
274	16.24	31.68
275	6.859	9.416
276	3.792	3.312
277	10.42	19.52
278	1.93	1.055
279	4.965	43.8
280	9.377	5.39
281	8.522	37.35
282	10.68	37.14
283	7.808	30.81
284	6.37	32.45
285	1.627	0.9782
286	8.546	11.48
287	1.627	0.9782
288	2.859	8.234
289	5.039	25.13
290	2.897	6.715
291	8.71	36.32
292	10.35	39.17
293	3.183	1.72
294	1.809	2.063
295	7.709	7.704
296	7.837	22
297	3.202	1.602
298	3.063	1.232
299	2.275	3.745
300	24.31	45.56
301	3.233	32.54
302	17.33	46.69
303	2.495	3.297
304	26.13	86.08
305	12.65	14.27
306	8.361	22.39
307	18.32	21.56
308	5.275	35.67
309	2.968	6.214
310	11.4	5.696
311	7.105	21.98
312	3.442	12.12
313	3.052	1.295
314	1.972	1.409
315	2.291	3.205
316	15.14	8.368
317	2.464	8.452
318	6.208	42.09
319	2.3	7.217
320	2.653	9.019
321	10.93	3.349
322	2.39	3.341
