# Empirical Bayesian Rates
# Rate in each gamma category: category 1, Rate= 0.8846894 category 2, Rate= 3.591584 category 3, Rate= 11.15788 
# Posterior probability for each category, and each position is given.
POS	Rate	Categ 1	Categ 2	Categ 3	
1	11.15764	5.063755e-19	3.223756e-05	0.9999678	
2	6.870078	0.1552413	0.3559179	0.4888408	
3	0.884935	0.9999093	9.071923e-05	1.408405e-35	
4	11.15538	3.244204e-08	0.0003311706	0.9996688	
5	11.08016	2.649713e-06	0.01026886	0.9897285	
6	5.942692	0.2723614	0.3194652	0.4081734	
7	11.15314	1.300153e-08	0.0006269746	0.999373	
8	11.03142	7.256115e-11	0.0167145	0.9832855	
9	11.14811	5.849588e-09	0.001291848	0.9987081	
10	3.588108	0.001284244	0.9987158	1.163211e-25	
11	0.8848243	0.9999502	4.982456e-05	7.4151e-39	
12	0.8846894	1	1.71729e-14	3.585381e-59	
13	8.535193	2.77283e-06	0.3466241	0.6533731	
14	1.057647	0.9361049	0.06389511	1.337289e-09	
15	4.148413	7.008697e-05	0.9263115	0.07361843	
16	3.645796	1.686714e-11	0.9928351	0.007164938	
17	3.591584	5.228691e-13	1	4.700143e-11	
18	7.849666	0.08739924	0.3185636	0.5940371	
19	3.591655	1.516242e-05	0.99997	1.483563e-05	
20	0.9135742	0.9893292	0.01067083	6.088563e-30	
21	3.59133	9.382577e-05	0.9999062	1.870708e-09	
22	3.539871	0.01910403	0.980896	1.08984e-16	
23	10.70133	0.0005238664	0.05962907	0.9398471	
24	0.8846973	0.9999971	2.909647e-06	9.228989e-41	
25	9.216032	0.01699468	0.2335703	0.7494351	
26	3.591452	4.871899e-05	0.9999513	1.984891e-20	
27	11.15749	2.859443e-09	5.257063e-05	0.9999474	
28	10.99756	0.0005321886	0.02046626	0.9790015	
29	3.473731	0.04353814	0.9564619	7.862251e-27	
30	9.758451	0.01577922	0.1635317	0.8206891	
31	10.94976	1.142904e-05	0.02749061	0.972498	
32	11.12251	1.748431e-09	0.004675005	0.995325	
33	11.14602	1.917449e-05	0.001542186	0.9984386	
34	11.15785	3.449797e-14	4.475245e-06	0.9999955	
35	9.801635	0.001456225	0.1772715	0.8212723	
36	11.02324	0.0002045581	0.01751768	0.9822778	
37	9.710808	0.0107134	0.1767066	0.81258	
38	6.656683	0.2154672	0.3023491	0.4821836	
39	0.8847305	0.9999848	1.517191e-05	5.224691e-39	
40	0.8846895	1	4.948317e-08	1.167783e-44	
41	2.132038	0.5394559	0.460451	9.302807e-05	
42	11.15108	1.168e-06	0.0008974644	0.9991014	
43	0.8846894	1	2.378989e-16	3.99976e-65	
44	0.8846932	0.9999986	1.383375e-06	3.50176e-43	
45	0.8846894	1	2.10235e-19	1.918033e-70	
46	10.78701	6.588278e-05	0.04892649	0.9510076	
47	11.15655	1.652755e-08	0.0001767941	0.9998232	
48	11.1575	1.008058e-11	5.007793e-05	0.9999499	
49	9.34701	0.03791829	0.1878503	0.7742314	
50	3.591584	1.319049e-07	0.9999999	6.914979e-22	
51	11.15509	3.889654e-06	0.0003634132	0.9996327	
52	10.64643	0.011801	0.05157396	0.936625	
53	3.591584	1.696611e-09	1	4.916908e-11	
54	0.8846894	1	2.702776e-20	1.798542e-72	
55	3.591584	6.843028e-14	1	8.653548e-11	
56	9.511931	1.392422e-05	0.2175184	0.7824676	
57	9.889415	0.006362897	0.1590079	0.8346292	
58	10.62261	0.003248896	0.06633364	0.9304175	
59	0.8846894	1	3.498528e-18	2.713916e-68	
60	5.185196	0.02410903	0.7566461	0.2192449	
61	4.328314	0.3717712	0.3978552	0.2303736	
62	10.91315	0.00365329	0.02738465	0.9689621	
63	0.8846926	0.9999988	1.16719e-06	4.429591e-33	
64	11.14075	2.725838e-05	0.00222806	0.9977447	
65	0.8846894	1	3.504862e-11	1.225797e-50	
66	8.958964	0.01886495	0.2650062	0.7161288	
67	8.508985	1.812261e-06	0.3500892	0.649909	
68	4.002806	0.004977055	0.9388932	0.05612978	
69	11.06254	0.0005423722	0.01186434	0.9875933	
70	3.591582	8.301853e-07	0.9999992	5.257124e-15	
71	11.01688	3.197933e-06	0.01863115	0.9813656	
72	11.14409	4.152143e-11	0.001823432	0.9981766	
73	3.591583	4.013293e-07	0.9999996	7.410356e-22	
74	4.646758	0.01155455	0.8448547	0.1435907	
75	4.076035	0.04480584	0.8751372	0.080057	
76	11.14535	2.584432e-06	0.001652377	0.998345	
77	3.89052	0.00107403	0.9590328	0.03989317	
78	11.15751	8.286243e-08	4.986973e-05	0.99995	
79	3.591585	2.669754e-12	0.9999999	1.124301e-07	
80	11.15442	6.768708e-07	0.0004562295	0.9995431	
81	10.96458	4.231378e-15	0.02554823	0.9744518	
82	3.628848	4.443558e-09	0.995075	0.004924966	
83	7.151892	0.1712926	0.2968783	0.5318291	
84	11.15433	6.41002e-08	0.0004691605	0.9995308	
85	3.596885	3.977945e-06	0.9992939	0.0007020746	
86	3.591584	4.629301e-11	1	4.414039e-10	
87	7.640785	0.1509795	0.259844	0.5891765	
88	11.14941	8.632367e-13	0.001120036	0.99888	
89	10.80075	0.0002703622	0.0468338	0.9528958	
90	6.514996	0.2199989	0.3149222	0.4650789	
91	0.8846894	1	1.89727e-17	3.321203e-66	
92	0.8846894	1	1.105185e-19	9.973316e-72	
93	3.591583	3.736719e-07	0.9999996	3.769318e-21	
94	10.59538	0.0006450011	0.07346714	0.9258879	
95	9.375588	2.449441e-12	0.2355571	0.7644429	
96	3.591581	1.150688e-06	0.9999988	5.577262e-10	
97	10.52226	0.01011079	0.07027886	0.9196104	
98	0.8847074	0.9999934	6.63472e-06	5.7075e-40	
99	10.93216	0.001450836	0.02786318	0.970686	
100	0.8847235	0.9999874	1.259547e-05	1.305805e-41	
101	10.45654	0.01349772	0.07436614	0.9121361	
102	2.372134	0.5861306	0.3653459	0.0485235	
103	11.15492	2.781311e-08	0.0003921193	0.9996079	
104	7.054432	0.1813108	0.2961568	0.5225324	
105	4.462447	0.004144751	0.8792749	0.1165804	
106	11.15682	2.782544e-11	0.0001410135	0.999859	
107	3.55862	0.02797547	0.9663727	0.005651777	
108	3.560585	0.01145189	0.9885481	2.843028e-17	
109	3.298789	0.1081665	0.8918335	9.950045e-17	
110	0.8861384	0.9994647	0.0005353146	2.967785e-21	
111	0.8846924	0.9999989	1.099346e-06	1.153017e-35	
112	10.7568	3.213496e-06	0.05300476	0.946992	
113	10.7568	3.213496e-06	0.05300476	0.946992	
114	4.730829	0.006637955	0.8404189	0.1529431	
115	4.678621	0.04033488	0.8015668	0.1580983	
116	6.886778	0.1064256	0.4199905	0.4735838	
117	4.604396	0.02479883	0.8324709	0.1427302	
118	3.591595	4.385123e-06	0.9999926	3.016488e-06	
119	3.591595	4.385123e-06	0.9999926	3.016488e-06	
120	3.153105	0.1833204	0.8090471	0.00763253	
121	2.054975	0.568112	0.431728	0.000159919	
122	5.322053	0.1818016	0.5244502	0.2937482	
123	10.0203	0.0009427204	0.1490691	0.8499882	
124	3.638867	0.3124228	0.5695567	0.1180205	
125	7.117861	0.0008925035	0.5327378	0.4663696	
126	8.678498	0.06329373	0.2417505	0.6949557	
127	9.376846	0.05431984	0.1616378	0.7840424	
128	8.678498	0.06329373	0.2417505	0.6949557	
129	1.009737	0.9538041	0.04619586	3.451569e-28	
