Node	State	ProbSum	Father	StateFather	ProbSumFather
t641736249_Clostridium_perfringens	1	1011	N2	1	895.9
t647000254_Fusobacterium_nucleatum	1	744	N3	1	900.5
t637000140_Lactobacillus_johnsonii	1	604	N9	1	603.1
t643886066_Lactobacillus_gasseri	1	607	N9	1	603.1
N9	1	603.1	N8	1	635.5
t637000139_Lactobacillus_delbrueckii	1	574	N10	1	626.9
t637000138_Lactobacillus_acidophilus	1	641	N10	1	626.9
N10	1	626.9	N8	1	635.5
N8	1	635.5	N7	1	851.8
t651053039_Lactobacillus_casei	1	908	N7	1	851.8
N7	1	851.8	N6	1	867.1
t648231712_Lactobacillus_salivarius	1	826	N11	1	869.2
t644736381_Lactobacillus_plantarum	1	971	N13	1	890.8
t639633027_Lactobacillus_brevis	1	838	N13	1	890.8
N13	1	890.8	N12	1	880
t2511231143_Leuconostoc_mesenteroides	1	812	N12	1	880
N12	1	880	N11	1	869.2
N11	1	869.2	N6	1	867.1
N6	1	867.1	N5	1	900.3
t651053041_Lactococcus_lactis	1	900	N15	1	897.4
t651053075_Streptococcus_thermophilus	1	778	N15	1	897.4
N15	1	897.4	N14	1	902.8
t647533130_Enterococcus_faecalis	1	960	N14	1	902.8
N14	1	902.8	N5	1	900.3
N5	1	900.3	N4	1	1019
t650377907_Bacillus_subtilis	1	1514	N4	1	1019
N4	1	1019	N3	1	900.5
N3	1	900.5	N2	1	895.9
N2	1	895.9	N1	1	842.4
t640963015_Bifidobacterium_adolescentis	1	730	N18	1	766.1
t649633019_Bifidobacterium_longum	1	774	N18	1	766.1
N18	1	766.1	N17	1	921.8
t651053059_Propionibacterium_acnes	1	1068	N17	1	921.8
N17	1	921.8	N16	1	847.6
t650716072_Porphyromonas_gingivalis	1	795	N20	1	986.5
t637000024_Bacteroides_fragilis	1	1165	N21	1	1144
t637000026_Bacteroides_thetaiotaomicron	1	1147	N21	1	1144
N21	1	1144	N20	1	986.5
N20	1	986.5	N19	1	877.5
t640963041_Campylobacter_jejuni	1	790	N23	1	857.9
t637000341_Wolinella_succinogenes	1	798	N23	1	857.9
N23	1	857.9	N22	1	907.9
t643348538_Desulfovibrio_desulfuricans	1	1069	N24	1	948
t640427143_Shigella_sonnei	1	1651	N29	1	1667
t640427142_Shigella_dysenteriae	1	1456	N30	1	1608
t641522650_Shigella_boydii	1	1567	N30	1	1608
N30	1	1608	N29	1	1667
N29	1	1667	N28	1	1675
t638341089_Escherichia_coli	1	1728	N28	1	1675
N28	1	1675	N27	1	1672
t637000265_Shigella_flexneri	1	1558	N27	1	1672
N27	1	1672	N26	1	1654
t642555155_Salmonella_enterica	1	1621	N26	1	1654
N26	1	1654	N25	1	1337
t2511231165_Pseudomonas_aeruginosa	1	1680	N25	1	1337
N25	1	1337	N24	1	948
N24	1	948	N22	1	907.9
N22	1	907.9	N19	1	877.5
N19	1	877.5	N16	1	847.6
N16	1	847.6	N1	1	842.4
N1	1	842.4	NoFather2Root	NA	NA
