# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.3453	0.3453	0.4204	1	473.6	420.1
t641736249_Clostridium_perfringens	0.4204	0.7657	0	0	525	409.9
N3	0.1046	0.4499	0.6725	1	112	107.4
t647000254_Fusobacterium_nucleatum	0.6725	1.122	0	0	624	780.5
N4	0.3683	0.8183	0.3549	1	466	347.8
N5	0.2237	1.042	0.2199	2	204.3	322.8
N6	0.103	1.145	0.221	2	85.22	118.4
N7	0.04814	1.193	0.2217	1	32.98	48.27
N8	0.2592	1.452	0.08561	2	149.8	366.2
N9	0.07368	1.526	0.01192	1	35.76	68.17
t637000140_Lactobacillus_johnsonii	0.01317	1.539	0	0	24.74	23.8
t643886066_Lactobacillus_gasseri	0.01192	1.538	0	0	33.61	29.67
N10	0.03792	1.49	0.1197	1	18.47	27.08
t637000139_Lactobacillus_delbrueckii	0.148	1.638	0	0	137.5	190.3
t637000138_Lactobacillus_acidophilus	0.1197	1.61	0	0	80.06	65.92
t651053039_Lactobacillus_casei	0.2217	1.415	0	0	236	179.8
N11	0.03187	1.177	0.1892	1	30.86	28.78
t648231712_Lactobacillus_salivarius	0.1892	1.366	0	0	148.1	191.3
N12	0.0378	1.215	0.171	1	40.61	29.8
N13	0.03093	1.246	0.1401	1	32.7	21.91
t644736381_Lactobacillus_plantarum	0.1401	1.386	0	0	198.1	118
t639633027_Lactobacillus_brevis	0.1522	1.398	0	0	165.8	218.6
t2511231143_Leuconostoc_mesenteroides	0.4315	1.646	0	0	381.1	449.1
N14	0.04388	1.086	0.176	1	44.42	41.88
N15	0.1579	1.244	0.2027	1	154.3	159.8
t651053041_Lactococcus_lactis	0.2027	1.446	0	0	187.5	184.9
t651053075_Streptococcus_thermophilus	0.2562	1.5	0	0	168.4	287.8
t647533130_Enterococcus_faecalis	0.176	1.262	0	0	200.6	143.4
t650377907_Bacillus_subtilis	0.3549	1.173	0	0	752.9	257.7
N16	0.03082	0.03082	1.099	2	48.06	42.88
N17	0.7577	0.7886	0.4	1	915.2	841
N18	0.5771	1.366	0.07696	1	518.9	674.7
t640963015_Bifidobacterium_adolescentis	0.07696	1.443	0	0	42.61	78.7
t649633019_Bifidobacterium_longum	0.09189	1.458	0	0	75.03	67.13
t651053059_Propionibacterium_acnes	0.4	1.189	0	0	503.6	357.5
N19	0.05502	0.08584	1.043	2	99.46	69.56
N20	1.055	1.141	0.2018	1	1211	1102
t650716072_Porphyromonas_gingivalis	0.2557	1.396	0	0	173	364.5
N21	0.1651	1.306	0.03669	1	282.8	125.2
t637000024_Bacteroides_fragilis	0.04228	1.348	0	0	52.56	31.66
t637000026_Bacteroides_thetaiotaomicron	0.03669	1.342	0	0	38.56	35.66
N22	0.05396	0.1398	0.9895	2	94.22	63.79
N23	0.7447	0.8845	0.2653	1	816.5	866.6
t640963041_Campylobacter_jejuni	0.4082	1.293	0	0	310.9	378.8
t637000341_Wolinella_succinogenes	0.2653	1.15	0	0	191.2	251.1
N24	0.06607	0.2059	0.9235	1	107.4	67.27
t643348538_Desulfovibrio_desulfuricans	0.9235	1.129	0	0	1068	947
N25	0.6421	0.8479	0.4692	1	970.6	581.5
N26	0.6757	1.524	0.0349	1	924.2	607.7
N27	0.0258	1.549	0.009097	1	50.32	32.26
N28	0.0005402	1.55	0.008557	1	4.193	0.4876
N29	0.003464	1.553	0.005092	1	4.196	12.88
t640427143_Shigella_sonnei	0.005092	1.559	0	0	11.84	27.61
N30	0.006036	1.559	0.005299	1	0.7633	59.81
t640427142_Shigella_dysenteriae	0.009156	1.569	0	0	13.04	164.8
t641522650_Shigella_boydii	0.005299	1.565	0	0	7.037	47.76
t638341089_Escherichia_coli	0.01116	1.561	0	0	77.09	24.55
t637000265_Shigella_flexneri	0.01121	1.561	0	0	1.847	115.6
t642555155_Salmonella_enterica	0.06704	1.591	0	0	78.32	111
t2511231165_Pseudomonas_aeruginosa	0.4692	1.317	0	0	769.9	427.1
