POS	prob01	prob10
1	4.089	4.619
2	2.098	1.096
3	2.285	2.721
4	7.087	2.558
5	9.789	8.879
6	1.207	0.8434
7	2.633	4.37
8	7.087	2.558
9	1.966	5.621
10	2.352	4.523
11	8.113	8.75
12	2.613	5.65
13	10.36	7.289
14	7.086	10.53
15	3.773	4.931
16	7.46	5.203
17	1.27	3.115
18	8.609	8.759
19	8.607	1.921
20	4.089	4.619
21	3.034	6.367
22	4.274	5.453
23	4.274	5.453
24	1.27	3.115
25	1.145	0.2385
26	1.422	1.264
27	1.345	4.534
28	1.538	5.096
29	9.24	1.339
30	2.478	2.441
31	1.592	1.302
32	8.592	3.918
33	1.145	0.2385
34	2.384	2.365
35	2.762	1.74
36	9.24	1.339
37	2.478	2.441
38	7.465	6.855
39	1.207	0.8434
40	4.138	6.098
41	1.145	0.2385
42	2.371	0.8976
43	8.759	8.265
44	9.425	7.763
45	2.285	2.721
46	7.627	8.009
47	1.145	0.2385
48	1.592	1.302
49	7.465	6.855
50	1.311	3.236
51	4.5	5.297
52	4.5	5.297
53	11.15	10.58
54	4.089	4.619
55	7.465	6.855
56	1.145	0.2385
57	1.422	1.264
58	1.145	0.2385
59	6.841	2.364
60	8.977	3.413
61	6.941	6.424
62	1.145	0.2385
63	1.762	4.845
64	1.605	4.098
65	8.378	2.218
66	3.891	3.842
67	2.098	1.096
68	1.145	0.2385
69	1.145	0.2385
70	3.117	1.615
71	8.569	9.22
72	4.799	5.947
73	4.254	1.022
74	12.22	15
75	1.207	0.8434
76	1.745	1.937
77	7.418	5.634
78	4.543	1.407
79	9.34	12.38
80	6.976	6.814
81	1.45	3.667
82	5.341	2.044
83	7.975	8.723
84	8.824	9.52
85	8.53	10.19
86	1.699	1.438
87	9.86	5.993
88	3.04	2.906
89	6.759	5.392
90	12.22	15
91	7.087	2.558
92	5.724	6.909
93	5.101	1.098
94	7.777	7.678
95	7.777	7.678
96	2.054	2.236
97	6.636	8.731
98	5.007	4.817
99	4.241	6.815
100	9.682	9.626
101	2.181	3.093
102	3.408	1.669
103	3.549	4.369
104	1.145	0.2385
105	1.347	3.459
106	3.757	2.018
107	9.791	5.023
108	1.418	2.227
109	12.82	12.47
110	6.442	6.026
111	7.624	8.877
112	7.194	1.777
113	7.194	1.777
114	8.554	4.737
115	2.285	2.721
116	7.304	7.987
117	7.133	2.755
118	1.833	0.9852
119	1.833	0.9852
120	3.549	4.369
121	8.376	7.798
122	2.384	2.365
123	1.311	3.236
124	8.276	5.314
125	1.179	0.7692
126	1.603	0.9306
127	3.083	0.951
128	3.549	4.369
129	1.745	1.937
130	5.176	1.868
131	7.099	6.384
132	10.36	7.289
133	11.92	11.79
134	1.582	1.398
135	8.83	7.289
136	5.101	1.098
137	7.777	7.678
138	5.508	1.964
139	11.39	11.51
140	7.465	6.855
141	7.465	6.855
142	1.161	1.234
143	1.161	1.234
144	2.389	2.116
145	10.77	12.03
146	2.054	2.236
147	8.384	8.283
148	5.745	4.5
149	6.935	8.442
150	9.43	5.367
151	2.048	2.392
152	8.554	4.737
153	7.687	2.909
154	2.048	2.392
155	11.15	10.76
156	6.751	4.919
157	10.91	6.417
158	4.979	7.871
159	4.979	7.871
160	9.585	9.471
161	6.671	7.06
162	4.415	4.085
163	2.054	2.236
164	1.145	0.2385
165	1.145	0.2385
166	1.145	0.2385
167	1.145	0.2385
168	1.145	0.2385
169	8.298	7.512
170	10.64	10.14
171	1.145	0.2385
172	6.527	7.354
173	3.182	4.972
174	4.669	2.08
175	2.454	1.503
176	2.054	2.236
177	11.41	13.23
178	9.585	9.471
179	12.84	12.09
180	2.048	2.392
181	1.145	0.2385
182	4.556	2.025
183	2.054	2.236
184	11.83	11.35
185	4.603	4.497
186	2.645	4.382
187	7.883	8.304
188	1.587	1.943
189	3.083	0.951
190	6.39	8.393
191	2.054	2.236
192	5.074	1.351
193	8.02	1.899
194	5.074	1.351
195	1.145	0.2385
196	4.543	1.407
197	1.345	4.534
198	1.145	0.2385
199	8.612	11.04
200	0.4392	1.069
201	0.4392	1.069
202	0.4392	1.069
203	0.4392	1.069
204	1.145	0.2385
