# Empirical Bayesian Rates
# Rate in each gamma category: category 1, Rate= 0.005920067 category 2, Rate= 0.1297438 category 3, Rate= 1.253818 
# Posterior probability for each category, and each position is given.
POS	Rate	Categ 1	Categ 2	Categ 3	
1	0.3952586	0.09590281	0.6573253	0.2467719	
2	0.8096624	0.1769458	0.1986927	0.6243615	
3	0.2167113	0.1526906	0.7531215	0.09418791	
4	1.248046	0.0004465176	0.004638958	0.9949145	
5	1.240334	0.003015716	0.008647635	0.9883366	
6	0.1198728	0.1858996	0.8024039	0.0116965	
7	0.2765671	0.2094721	0.6368362	0.1536917	
8	1.248046	0.0004465176	0.004638958	0.9949145	
9	0.234741	0.3828208	0.4816013	0.1355778	
10	0.2318815	0.2968704	0.5795636	0.123566	
11	1.211054	0.01402079	0.0224784	0.9635008	
12	0.298625	0.3324969	0.4806363	0.1868668	
13	1.248761	0.0006415022	0.003786522	0.995572	
14	1.174408	0.02102461	0.04730406	0.9316713	
15	0.367263	0.1564742	0.6149872	0.2285386	
16	0.999703	0.0009009062	0.2250659	0.7740332	
17	0.2568799	0.4833341	0.3503208	0.1663452	
18	0.8791389	0.01280073	0.3191115	0.6680877	
19	1.249992	3.667066e-05	0.003362879	0.9966005	
20	0.3952586	0.09590281	0.6573253	0.2467719	
21	0.3311947	0.3372347	0.4464018	0.2163635	
22	0.6200998	0.1429184	0.4051072	0.4519744	
23	0.6200998	0.1429184	0.4051072	0.4519744	
24	0.2568799	0.4833341	0.3503208	0.1663452	
25	0.6979615	0.2284944	0.2408371	0.5306685	
26	0.1190508	0.1906281	0.7978859	0.01148607	
27	0.1702268	0.4191508	0.4986627	0.08218656	
28	0.1391163	0.1504406	0.8246495	0.02490988	
29	1.250352	0.0003585691	0.002685611	0.9969558	
30	0.2561928	0.04070366	0.842321	0.1169754	
31	0.1525525	0.1571973	0.8051953	0.0376073	
32	1.242981	2.552229e-05	0.009612004	0.9903625	
33	0.6979615	0.2284944	0.2408371	0.5306685	
34	0.2249942	0.1223855	0.7793963	0.09821823	
35	0.2115258	0.1239091	0.7896866	0.08640435	
36	1.250352	0.0003585691	0.002685611	0.9969558	
37	0.2561928	0.04070366	0.842321	0.1169754	
38	1.182322	0.02719668	0.03341218	0.9393911	
39	0.1198728	0.1858996	0.8024039	0.0116965	
40	0.4230286	0.2491928	0.4624448	0.2883624	
41	0.6979615	0.2284944	0.2408371	0.5306685	
42	0.7572503	0.2096099	0.2090573	0.5813328	
43	0.8876875	0.005784886	0.3192952	0.6749199	
44	1.25182	0.0003043021	0.001439145	0.9982566	
45	0.2167113	0.1526906	0.7531215	0.09418791	
46	1.124377	0.03127854	0.08042954	0.8882919	
47	0.6979615	0.2284944	0.2408371	0.5306685	
48	0.1525525	0.1571973	0.8051953	0.0376073	
49	1.182322	0.02719668	0.03341218	0.9393911	
50	0.2617318	0.4883288	0.3404595	0.1712117	
51	0.8613688	0.1641846	0.1668604	0.668955	
52	0.8613688	0.1641846	0.1668604	0.668955	
53	1.201602	0.00953509	0.03586736	0.9545976	
54	0.3952586	0.09590281	0.6573253	0.2467719	
55	1.182322	0.02719668	0.03341218	0.9393911	
56	0.6979615	0.2284944	0.2408371	0.5306685	
