# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =1
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	2.22814	2	0	0
N2	1.00486	1.00486	1.22328	1	63	0
t641736249_Clostridium_perfringens	1.22328	2.22814	0	0	254	30
N3	0.304361	1.30922	1.95686	1	11	13
t647000254_Fusobacterium_nucleatum	1.95686	3.26607	0	0	154	195
N4	1.07169	2.38091	1.0327	1	129	22
N5	0.650831	3.03174	0.639755	2	22	114
N6	0.29971	3.33145	0.643195	2	19	56
N7	0.140064	3.47152	0.645043	1	13	25
N8	0.754348	4.22587	0.249097	2	15	165
N9	0.214401	4.44027	0.0346956	1	18	22
t637000140_Lactobacillus_johnsonii	0.038327	4.47859	0	0	22	15
t643886066_Lactobacillus_gasseri	0.0346956	4.47496	0	0	41	31
N10	0.110336	4.3362	0.348272	1	2	10
t637000139_Lactobacillus_delbrueckii	0.430732	4.76693	0	0	99	118
t637000138_Lactobacillus_acidophilus	0.348272	4.68447	0	0	52	4
t651053039_Lactobacillus_casei	0.645043	4.11656	0	0	185	28
N11	0.0927207	3.42417	0.550475	1	15	12
t648231712_Lactobacillus_salivarius	0.550475	3.97465	0	0	93	33
N12	0.109995	3.53417	0.497563	1	22	53
N13	0.0899921	3.62416	0.407571	1	51	1
t644736381_Lactobacillus_plantarum	0.407571	4.03173	0	0	207	21
t639633027_Lactobacillus_brevis	0.442901	4.06706	0	0	143	90
t2511231143_Leuconostoc_mesenteroides	1.25553	4.7897	0	0	144	67
N14	0.12768	3.15942	0.512075	1	13	27
N15	0.459313	3.61874	0.589855	1	60	8
t651053041_Lactococcus_lactis	0.589855	4.20859	0	0	117	55
t651053075_Streptococcus_thermophilus	0.745504	4.36424	0	0	40	100
t647533130_Enterococcus_faecalis	0.512075	3.6715	0	0	202	28
t650377907_Bacillus_subtilis	1.0327	3.41361	0	0	633	11
N16	0.0896901	0.0896901	3.19643	2	58	0
N17	2.20481	2.2945	1.1639	1	47	42
N18	1.6792	3.9737	0.223932	1	105	165
t640963015_Bifidobacterium_adolescentis	0.223932	4.19764	0	0	31	28
t649633019_Bifidobacterium_longum	0.267378	4.24108	0	0	70	23
t651053059_Propionibacterium_acnes	1.1639	3.4584	0	0	316	35
N19	0.160097	0.249787	3.03633	2	79	55
N20	3.06882	3.31861	0.587209	1	83	27
t650716072_Porphyromonas_gingivalis	0.744088	4.06269	0	0	79	146
N21	0.480439	3.79905	0.10677	1	252	4
t637000024_Bacteroides_fragilis	0.123027	3.92207	0	0	62	7
t637000026_Bacteroides_thetaiotaomicron	0.10677	3.90582	0	0	48	11
N22	0.157005	0.406792	2.87933	2	77	69
N23	2.16679	2.57358	0.771851	1	71	111
t640963041_Campylobacter_jejuni	1.18765	3.76123	0	0	55	39
t637000341_Wolinella_succinogenes	0.771851	3.34543	0	0	61	37
N24	0.192245	0.599037	2.68708	1	120	3
t643348538_Desulfovibrio_desulfuricans	2.68708	3.28612	0	0	168	30
N25	1.86827	2.46731	1.3654	1	327	5
N26	1.96614	4.43345	0.10155	1	275	8
N27	0.0750804	4.50853	0.02647	1	80	23
N28	0.00157189	4.5101	0.0248981	1	52	0
N29	0.0100804	4.52018	0.0148176	1	0	12
t640427143_Shigella_sonnei	0.0148176	4.535	0	0	47	13
N30	0.0175625	4.53775	0.0154176	1	2	42
t640427142_Shigella_dysenteriae	0.026642	4.56439	0	0	23	144
t641522650_Shigella_boydii	0.0154176	4.55316	0	0	25	35
t638341089_Escherichia_coli	0.0324671	4.54257	0	0	110	11
t637000265_Shigella_flexneri	0.0326132	4.54114	0	0	22	41
t642555155_Salmonella_enterica	0.19506	4.62851	0	0	108	7
t2511231165_Pseudomonas_aeruginosa	1.3654	3.83271	0	0	481	54
