# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2.001
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	2.22814	2	0	0
N2	1.00486	1.00486	1.22328	1	0	97
t641736249_Clostridium_perfringens	1.22328	2.22814	0	0	0	212
N3	0.304361	1.30922	1.95686	1	0	49
t647000254_Fusobacterium_nucleatum	1.95686	3.26607	0	0	23	268
N4	1.07169	2.38091	1.0327	1	40	56
N5	0.650831	3.03174	0.639755	2	32	90
N6	0.29971	3.33145	0.643195	2	8	52
N7	0.140064	3.47152	0.645043	1	6	61
N8	0.754348	4.22587	0.249097	2	6	100
N9	0.214401	4.44027	0.0346956	1	3	61
t637000140_Lactobacillus_johnsonii	0.038327	4.47859	0	0	1	19
t643886066_Lactobacillus_gasseri	0.0346956	4.47496	0	0	2	19
N10	0.110336	4.3362	0.348272	1	0	25
t637000139_Lactobacillus_delbrueckii	0.430732	4.76693	0	0	9	66
t637000138_Lactobacillus_acidophilus	0.348272	4.68447	0	0	2	27
t651053039_Lactobacillus_casei	0.645043	4.11656	0	0	8	29
N11	0.0927207	3.42417	0.550475	1	5	24
t648231712_Lactobacillus_salivarius	0.550475	3.97465	0	0	6	121
N12	0.109995	3.53417	0.497563	1	7	11
N13	0.0899921	3.62416	0.407571	1	6	24
t644736381_Lactobacillus_plantarum	0.407571	4.03173	0	0	45	32
t639633027_Lactobacillus_brevis	0.442901	4.06706	0	0	24	152
t2511231143_Leuconostoc_mesenteroides	1.25553	4.7897	0	0	14	108
N14	0.12768	3.15942	0.512075	1	8	27
N15	0.459313	3.61874	0.589855	1	7	81
t651053041_Lactococcus_lactis	0.589855	4.20859	0	0	14	43
t651053075_Streptococcus_thermophilus	0.745504	4.36424	0	0	10	94
t647533130_Enterococcus_faecalis	0.512075	3.6715	0	0	29	82
t650377907_Bacillus_subtilis	1.0327	3.41361	0	0	148	66
N16	0.0896901	0.0896901	3.19643	2	0	78
N17	2.20481	2.2945	1.1639	1	0	160
N18	1.6792	3.9737	0.223932	1	10	193
t640963015_Bifidobacterium_adolescentis	0.223932	4.19764	0	0	9	28
t649633019_Bifidobacterium_longum	0.267378	4.24108	0	0	5	13
t651053059_Propionibacterium_acnes	1.1639	3.4584	0	0	59	72
N19	0.160097	0.249787	3.03633	2	0	51
N20	3.06882	3.31861	0.587209	1	6	130
t650716072_Porphyromonas_gingivalis	0.744088	4.06269	0	0	15	168
N21	0.480439	3.79905	0.10677	1	37	17
t637000024_Bacteroides_fragilis	0.123027	3.92207	0	0	11	15
t637000026_Bacteroides_thetaiotaomicron	0.10677	3.90582	0	0	16	23
N22	0.157005	0.406792	2.87933	2	44	40
N23	2.16679	2.57358	0.771851	1	9	206
t640963041_Campylobacter_jejuni	1.18765	3.76123	0	0	21	48
t637000341_Wolinella_succinogenes	0.771851	3.34543	0	0	32	34
N24	0.192245	0.599037	2.68708	1	26	8
t643348538_Desulfovibrio_desulfuricans	2.68708	3.28612	0	0	31	184
N25	1.86827	2.46731	1.3654	1	135	41
N26	1.96614	4.43345	0.10155	1	172	51
N27	0.0750804	4.50853	0.02647	1	66	28
N28	0.00157189	4.5101	0.0248981	1	23	1
N29	0.0100804	4.52018	0.0148176	1	1	31
t640427143_Shigella_sonnei	0.0148176	4.535	0	0	7	34
N30	0.0175625	4.53775	0.0154176	1	0	46
t640427142_Shigella_dysenteriae	0.026642	4.56439	0	0	6	121
t641522650_Shigella_boydii	0.0154176	4.55316	0	0	2	28
t638341089_Escherichia_coli	0.0324671	4.54257	0	0	35	23
t637000265_Shigella_flexneri	0.0326132	4.54114	0	0	5	80
t642555155_Salmonella_enterica	0.19506	4.62851	0	0	46	38
t2511231165_Pseudomonas_aeruginosa	1.3654	3.83271	0	0	219	112
