# print count over countCutOffLow=0.1 to countCutOffHigh=0.9 with increment=0.05
POS	prob01	prob10	exp01	exp10	prob01_Rec	prob10_Rec	exp01_Rec	exp10_Rec	prob01_Anc	prob10_Anc	exp01_Anc	exp10_Anc	count01_0.1	count10_0.1	count01_0.15	count10_0.15	count01_0.2	count10_0.2	count01_0.25	count10_0.25	count01_0.3	count10_0.3	count01_0.35	count10_0.35	count01_0.4	count10_0.4	count01_0.45	count10_0.45	count01_0.5	count10_0.5	count01_0.55	count10_0.55	count01_0.6	count10_0.6	count01_0.65	count10_0.65	count01_0.7	count10_0.7	count01_0.75	count10_0.75	count01_0.8	count10_0.8	count01_0.85	count10_0.85	count01_0.9	count10_0.9	
1	4.369	4.922	5.057	5.611	2.573	2.391	2.884	2.656	1.796	2.531	2.173	2.955	11	16	8	11	4	7	3	7	3	4	2	3	2	1	2	0	2	0	2	0	2	0	2	0	1	0	1	0	1	0	0	0	0	0	
2	2.23	1.071	2.249	1.076	0.5515	0.7941	0.5573	0.7951	1.679	0.277	1.692	0.2808	7	2	6	2	5	1	3	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
3	2.501	2.941	2.764	3.26	1.401	1.384	1.494	1.51	1.101	1.556	1.27	1.75	5	10	2	6	2	4	2	2	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	
4	7.079	2.425	7.203	2.468	2.453	0.9271	2.49	0.9438	4.627	1.498	4.713	1.525	16	4	12	3	8	2	8	2	8	2	8	2	7	2	7	1	6	1	6	1	5	1	3	1	3	1	3	1	1	1	1	1	1	1	
5	9.812	8.765	10.48	9.266	4.757	5.125	4.96	5.361	5.055	3.641	5.52	3.905	22	25	20	20	18	16	16	13	15	11	14	9	11	8	9	7	8	4	7	4	3	3	3	1	1	1	0	1	0	1	0	1	0	1	
6	1.183	0.8434	1.212	0.8723	0.1563	0.3076	0.1651	0.3189	1.027	0.5357	1.047	0.5534	1	4	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	
7	2.627	4.474	3.026	4.862	0.9576	2.453	1.089	2.607	1.67	2.022	1.937	2.256	7	11	3	6	3	6	2	6	1	5	1	3	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	
8	7.079	2.425	7.203	2.468	2.453	0.9271	2.49	0.9438	4.627	1.498	4.713	1.525	16	4	12	3	8	2	8	2	8	2	8	2	7	2	7	1	6	1	6	1	5	1	3	1	3	1	3	1	1	1	1	1	1	1	
9	1.929	5.624	2.132	5.803	0.6159	3.471	0.6817	3.548	1.313	2.153	1.45	2.255	6	11	4	9	2	6	0	5	0	5	0	5	0	5	0	5	0	5	0	5	0	4	0	4	0	3	0	3	0	2	0	1	0	1	
10	2.509	4.648	2.888	4.999	1.619	1.447	1.814	1.574	0.8895	3.202	1.074	3.426	3	12	2	8	2	6	2	6	2	6	2	5	2	4	2	4	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	8.317	8.961	8.977	9.387	4.007	5.193	4.237	5.394	4.31	3.768	4.74	3.993	22	20	18	15	14	14	13	12	13	11	11	9	8	7	7	7	4	7	3	6	2	5	2	5	2	5	1	4	0	4	0	3	0	0	
12	2.551	5.727	2.795	5.958	1.46	2.107	1.582	2.188	1.091	3.62	1.213	3.77	6	9	4	8	4	6	4	6	4	6	0	6	0	6	0	6	0	6	0	6	0	6	0	6	0	4	0	3	0	0	0	0	0	0	
13	10.5	7.211	11.1	7.615	5.465	4.21	5.618	4.415	5.031	3.001	5.482	3.2	21	24	18	19	15	16	15	12	14	7	13	6	11	5	10	3	9	2	8	2	8	0	7	0	6	0	2	0	1	0	0	0	0	0	
14	7.503	11.63	8.058	12.12	2.533	8.949	2.64	9.247	4.971	2.676	5.418	2.873	17	21	15	18	13	15	12	14	12	13	11	12	7	12	4	11	3	9	3	9	3	9	2	7	1	7	0	6	0	6	0	6	0	5	
15	4.054	5.366	4.654	6.028	2.266	2.437	2.51	2.694	1.788	2.929	2.145	3.334	10	15	7	12	5	7	4	6	3	6	2	5	2	5	2	4	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	7.4	5.152	8.034	5.58	4.287	2.442	4.59	2.59	3.113	2.71	3.445	2.99	18	15	12	14	11	10	10	7	10	4	8	2	7	2	5	2	5	2	3	1	3	0	3	0	3	0	2	0	2	0	2	0	1	0	
17	1.386	3.095	1.449	3.133	0.7966	0.1922	0.8274	0.1984	0.5892	2.902	0.6215	2.934	6	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	0	
18	9.111	9.179	10.73	10.94	4.941	4.474	5.614	5.16	4.171	4.704	5.118	5.783	24	29	20	24	18	19	13	16	11	12	10	9	8	6	5	5	4	3	3	1	3	0	3	0	2	0	1	0	1	0	1	0	0	0	
19	8.777	1.739	8.909	1.775	6.081	0.3622	6.143	0.3696	2.696	1.377	2.766	1.405	16	4	13	3	13	2	11	2	11	2	11	1	10	1	10	0	8	0	8	0	6	0	4	0	3	0	3	0	3	0	3	0	3	0	
20	4.369	4.922	5.057	5.611	2.573	2.391	2.884	2.656	1.796	2.531	2.173	2.955	11	16	8	11	4	7	3	7	3	4	2	3	2	1	2	0	2	0	2	0	2	0	2	0	1	0	1	0	1	0	0	0	0	0	
21	2.845	6.25	3.363	6.646	1.138	3.203	1.356	3.352	1.707	3.048	2.007	3.294	8	16	6	10	5	8	2	5	1	5	0	5	0	5	0	5	0	5	0	5	0	4	0	4	0	3	0	1	0	1	0	1	0	1	
22	4.544	5.471	4.916	5.761	2.579	1.738	2.767	1.812	1.965	3.733	2.149	3.949	13	12	10	10	8	9	6	6	6	6	5	6	4	6	2	4	1	3	1	3	0	3	0	3	0	2	0	1	0	0	0	0	0	0	
23	4.544	5.471	4.916	5.761	2.579	1.738	2.767	1.812	1.965	3.733	2.149	3.949	13	12	10	10	8	9	6	6	6	6	5	6	4	6	2	4	1	3	1	3	0	3	0	3	0	2	0	1	0	0	0	0	0	0	
24	1.386	3.095	1.449	3.133	0.7966	0.1922	0.8274	0.1984	0.5892	2.902	0.6215	2.934	6	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	0	
25	1.211	0.2292	1.223	0.2304	0.3337	0.09045	0.3368	0.0908	0.8773	0.1387	0.8862	0.1396	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	1.411	1.202	1.437	1.226	0.5112	0.24	0.5235	0.2473	0.8996	0.9616	0.9137	0.9784	3	4	3	4	3	2	3	0	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	1.432	4.479	1.509	4.558	0.8103	1.764	0.8463	1.789	0.6213	2.714	0.6626	2.769	4	9	3	6	1	6	1	6	0	5	0	5	0	5	0	4	0	4	0	3	0	3	0	3	0	2	0	2	0	2	0	0	0	0	
28	1.479	5.13	1.499	5.163	0.2846	3.546	0.2912	3.56	1.194	1.584	1.208	1.603	2	12	2	9	2	7	1	4	1	4	1	4	1	4	1	3	1	3	0	3	0	3	0	3	0	3	0	3	0	2	0	2	0	2	
29	9.34	1.259	9.449	1.284	6.205	0.5689	6.246	0.5806	3.136	0.6902	3.203	0.7038	17	3	11	2	11	0	11	0	11	0	11	0	10	0	10	0	8	0	8	0	8	0	6	0	6	0	6	0	6	0	2	0	2	0	
30	2.489	2.409	2.536	2.465	0.3243	1.785	0.3346	1.81	2.165	0.624	2.201	0.6546	4	8	2	4	2	2	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	1	1	0	1	0	1	
31	1.592	1.264	1.695	1.369	0.286	0.605	0.3124	0.6469	1.306	0.6592	1.383	0.7219	2	4	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	
32	8.734	4.023	9.179	4.242	4.684	2.065	4.853	2.144	4.05	1.958	4.325	2.098	16	14	15	10	13	5	12	4	11	4	9	2	8	1	8	1	8	0	7	0	5	0	5	0	5	0	4	0	2	0	2	0	2	0	
33	1.211	0.2292	1.223	0.2304	0.3337	0.09045	0.3368	0.0908	0.8773	0.1387	0.8862	0.1396	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34	2.605	2.593	2.883	2.921	1.575	1.124	1.682	1.25	1.03	1.469	1.201	1.671	6	10	1	3	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	
35	2.873	1.561	2.924	1.6	1.025	0.5679	1.037	0.5852	1.848	0.9926	1.887	1.015	4	4	3	4	3	3	3	2	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	0	0	0	0	0	0	0	0	
36	9.34	1.259	9.449	1.284	6.205	0.5689	6.246	0.5806	3.136	0.6902	3.203	0.7038	17	3	11	2	11	0	11	0	11	0	11	0	10	0	10	0	8	0	8	0	8	0	6	0	6	0	6	0	6	0	2	0	2	0	
37	2.489	2.409	2.536	2.465	0.3243	1.785	0.3346	1.81	2.165	0.624	2.201	0.6546	4	8	2	4	2	2	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	1	1	0	1	0	1	
38	7.838	6.867	8.387	7.222	3.535	3.173	3.741	3.301	4.303	3.694	4.646	3.921	21	15	17	12	15	12	13	8	12	7	10	6	9	6	7	5	4	5	3	5	1	5	1	3	0	2	0	2	0	1	0	1	0	1	
39	1.183	0.8434	1.212	0.8723	0.1563	0.3076	0.1651	0.3189	1.027	0.5357	1.047	0.5534	1	4	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	
40	4.57	6.328	5.464	7.104	2.502	2.811	2.942	3.097	2.068	3.517	2.522	4.007	15	18	10	14	6	11	4	6	4	5	3	5	2	5	1	4	1	3	1	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	
41	1.211	0.2292	1.223	0.2304	0.3337	0.09045	0.3368	0.0908	0.8773	0.1387	0.8862	0.1396	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42	2.525	0.8671	2.553	0.8734	0.4675	0.7309	0.4699	0.7364	2.058	0.1362	2.083	0.1369	5	1	5	1	5	1	5	1	5	1	3	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
43	9.198	8.697	10.89	10.43	5.213	4.2	5.964	4.864	3.986	4.497	4.926	5.567	22	28	18	23	17	18	12	13	11	10	10	8	8	6	5	5	4	3	3	1	3	0	3	0	3	0	3	0	3	0	3	0	0	0	
44	9.815	7.701	10.43	8.069	4.646	4.401	4.855	4.565	5.169	3.3	5.58	3.503	23	19	21	15	18	12	15	11	15	8	12	8	10	7	8	7	7	5	5	5	5	4	3	4	2	1	1	1	1	1	0	0	0	0	
45	2.501	2.941	2.764	3.26	1.401	1.384	1.494	1.51	1.101	1.556	1.27	1.75	5	10	2	6	2	4	2	2	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	
46	7.944	8.046	8.425	8.517	3.74	4.474	3.936	4.651	4.203	3.572	4.489	3.865	23	22	19	17	14	14	13	12	11	10	9	8	7	7	6	7	3	6	2	6	2	4	1	2	1	1	1	0	0	0	0	0	0	0	
47	1.211	0.2292	1.223	0.2304	0.3337	0.09045	0.3368	0.0908	0.8773	0.1387	0.8862	0.1396	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	1.592	1.264	1.695	1.369	0.286	0.605	0.3124	0.6469	1.306	0.6592	1.383	0.7219	2	4	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	
49	7.838	6.867	8.387	7.222	3.535	3.173	3.741	3.301	4.303	3.694	4.646	3.921	21	15	17	12	15	12	13	8	12	7	10	6	9	6	7	5	4	5	3	5	1	5	1	3	0	2	0	2	0	1	0	1	0	1	
50	1.416	3.249	1.5	3.288	0.7414	1.199	0.7757	1.211	0.6746	2.05	0.7247	2.077	6	3	2	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	3	0	1	0	0	
51	4.812	5.223	5.105	5.364	2.289	3.054	2.393	3.115	2.524	2.168	2.713	2.249	17	12	14	6	12	5	6	4	4	4	3	4	2	4	0	4	0	4	0	4	0	4	0	4	0	4	0	3	0	3	0	2	0	2	
52	4.812	5.223	5.105	5.364	2.289	3.054	2.393	3.115	2.524	2.168	2.713	2.249	17	12	14	6	12	5	6	4	4	4	3	4	2	4	0	4	0	4	0	4	0	4	0	4	0	4	0	3	0	3	0	2	0	2	
53	10.37	9.748	11.7	10.87	5.785	5.25	6.352	5.697	4.582	4.498	5.352	5.178	23	29	20	23	17	17	15	14	14	11	12	9	12	8	10	7	10	7	9	5	4	3	3	2	2	1	1	1	1	1	1	1	0	1	
54	4.369	4.922	5.057	5.611	2.573	2.391	2.884	2.656	1.796	2.531	2.173	2.955	11	16	8	11	4	7	3	7	3	4	2	3	2	1	2	0	2	0	2	0	2	0	2	0	1	0	1	0	1	0	0	0	0	0	
55	7.838	6.867	8.387	7.222	3.535	3.173	3.741	3.301	4.303	3.694	4.646	3.921	21	15	17	12	15	12	13	8	12	7	10	6	9	6	7	5	4	5	3	5	1	5	1	3	0	2	0	2	0	1	0	1	0	1	
56	1.211	0.2292	1.223	0.2304	0.3337	0.09045	0.3368	0.0908	0.8773	0.1387	0.8862	0.1396	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57	1.411	1.202	1.437	1.226	0.5112	0.24	0.5235	0.2473	0.8996	0.9616	0.9137	0.9784	3	4	3	4	3	2	3	0	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
58	1.211	0.2292	1.223	0.2304	0.3337	0.09045	0.3368	0.0908	0.8773	0.1387	0.8862	0.1396	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
59	6.89	2.404	6.993	2.433	3.674	1.294	3.711	1.301	3.217	1.11	3.282	1.132	13	4	11	4	9	4	8	3	8	2	7	1	7	1	7	1	7	1	6	1	6	1	5	1	5	1	3	1	2	1	1	1	1	1	
60	8.279	7.07	8.69	7.44	4.112	4.74	4.213	4.915	4.167	2.33	4.477	2.525	21	17	18	14	16	12	15	9	13	7	10	7	7	7	5	6	4	5	2	4	2	4	2	3	1	1	0	0	0	0	0	0	0	0	
61	7.205	6.439	7.698	6.731	2.768	4.308	2.944	4.432	4.437	2.13	4.754	2.299	17	14	14	11	13	9	12	6	12	6	10	6	6	5	5	5	4	4	3	4	2	3	1	3	1	2	0	2	0	2	0	2	0	2	
62	1.211	0.2292	1.223	0.2304	0.3337	0.09045	0.3368	0.0908	0.8773	0.1387	0.8862	0.1396	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63	1.696	4.774	1.797	4.889	0.9274	1.803	0.9676	1.848	0.7683	2.971	0.8296	3.041	3	8	3	6	3	6	3	6	3	6	1	6	0	6	0	6	0	6	0	6	0	5	0	3	0	0	0	0	0	0	0	0	0	0	
64	1.534	4.084	1.63	4.172	0.3106	2.187	0.3375	2.223	1.223	1.897	1.292	1.949	2	8	2	5	2	5	2	5	2	5	2	5	2	5	1	4	0	3	0	2	0	1	0	1	0	1	0	1	0	1	0	1	0	1	
65	8.376	2.168	8.637	2.265	5.131	1.04	5.221	1.076	3.245	1.128	3.416	1.189	17	8	12	3	9	0	8	0	8	0	8	0	8	0	8	0	7	0	7	0	7	0	5	0	5	0	5	0	4	0	4	0	3	0	
66	4.13	4.129	4.786	4.731	2.603	1.794	2.931	2.017	1.527	2.335	1.854	2.714	10	15	6	10	3	7	2	5	2	1	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	1	0	0	0	
67	2.23	1.071	2.249	1.076	0.5515	0.7941	0.5573	0.7951	1.679	0.277	1.692	0.2808	7	2	6	2	5	1	3	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
68	1.211	0.2292	1.223	0.2304	0.3337	0.09045	0.3368	0.0908	0.8773	0.1387	0.8862	0.1396	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
69	1.211	0.2292	1.223	0.2304	0.3337	0.09045	0.3368	0.0908	0.8773	0.1387	0.8862	0.1396	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
70	2.999	1.486	3.221	1.704	1.497	0.7221	1.571	0.8117	1.503	0.7636	1.651	0.8927	4	4	3	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	2	0	1	0	1	0	
71	8.668	9.346	10.5	10.87	4.283	4.72	5.129	5.297	4.385	4.626	5.369	5.572	22	27	18	22	16	18	11	15	11	13	9	11	8	10	6	5	5	4	5	2	3	2	2	0	2	0	1	0	0	0	0	0	0	0	
72	5.009	6.239	5.951	7.058	2.923	2.229	3.402	2.527	2.086	4.01	2.549	4.532	16	18	10	14	7	11	5	7	4	6	3	5	3	4	3	3	3	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	
73	4.574	0.9021	4.628	0.907	0.7035	0.6779	0.7075	0.6816	3.871	0.2242	3.921	0.2254	11	2	6	2	5	2	5	2	5	0	5	0	5	0	5	0	5	0	5	0	4	0	4	0	2	0	0	0	0	0	0	0	0	0	
74	12.62	15.17	15.42	17.68	5.992	9.011	7.203	9.984	6.63	6.163	8.22	7.693	31	37	25	35	22	30	22	24	18	20	12	20	10	15	10	11	9	11	7	9	5	6	4	3	4	3	3	2	1	2	1	2	1	2	
75	1.183	0.8434	1.212	0.8723	0.1563	0.3076	0.1651	0.3189	1.027	0.5357	1.047	0.5534	1	4	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	
76	1.868	2.08	2.071	2.27	1.254	0.7226	1.358	0.7923	0.6143	1.357	0.7138	1.478	1	5	1	5	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	
77	7.359	5.615	8.001	6.08	4.117	2.706	4.409	2.873	3.242	2.909	3.592	3.207	18	16	13	14	12	12	10	10	10	5	8	4	7	2	5	2	4	2	3	2	3	0	3	0	3	0	2	0	1	0	1	0	1	0	
78	4.713	1.343	4.754	1.349	1.749	0.9597	1.766	0.9613	2.964	0.3832	2.988	0.388	14	4	8	2	7	2	7	2	6	2	6	2	6	1	5	1	5	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	
79	9.911	12.95	11.84	15.08	4.485	7.685	5.094	8.546	5.426	5.261	6.75	6.538	26	32	21	29	18	23	17	20	11	19	10	14	8	11	7	10	6	7	3	6	3	4	2	2	2	2	2	2	1	2	1	2	0	2	
80	7.204	6.747	7.784	7.167	4.118	2.646	4.34	2.799	3.086	4.101	3.444	4.368	16	21	12	14	12	12	11	11	9	7	7	6	7	3	7	3	5	2	4	2	3	1	3	0	3	0	1	0	0	0	0	0	0	0	
81	1.451	3.762	1.465	3.79	0.3862	2.737	0.3897	2.75	1.065	1.025	1.075	1.04	3	9	1	8	1	5	1	4	1	3	1	2	1	2	1	2	1	2	1	2	0	2	0	2	0	2	0	2	0	2	0	2	0	0	
82	5.373	1.935	5.483	1.963	1.478	0.4761	1.51	0.4863	3.895	1.459	3.973	1.477	12	3	9	3	5	1	5	1	5	1	5	1	5	1	5	1	5	1	5	1	5	1	4	1	4	1	3	1	1	1	1	1	0	1	
83	8.113	8.909	8.799	9.341	3.021	5.228	3.271	5.416	5.093	3.681	5.528	3.924	18	19	15	17	13	15	12	12	12	11	11	11	9	9	7	9	5	7	4	5	4	5	4	4	2	3	1	3	0	3	0	3	0	0	
