# log Likelihood of tree (entire data)=	-1.728e+04
POS	logLofPos
1	-25.34
2	-17.98
3	-12.7
4	-17.39
5	-10.56
6	-16.57
7	-12.36
8	-16.74
9	-20.15
10	-10.18
11	-13.99
12	-14.51
13	-6.578
14	-13.48
15	-12.32
16	-22.13
17	-9.505
18	-14.53
19	-4.1
20	-15.15
21	-15.2
22	-14.57
23	-4.881
24	-14.98
25	-14.45
26	-5.766
27	-4.1
28	-13.88
29	-16.97
30	-16.18
31	-6.95
32	-9.854
33	-13.95
34	-9.568
35	-17.03
36	-4.1
37	-20.13
38	-14.59
39	-11.86
40	-21.16
41	-15.05
42	-10.62
43	-9.999
44	-7.812
45	-5.081
46	-9.551
47	-8.271
48	-8.782
49	-8.163
50	-4.1
51	-5.766
52	-4.638
53	-17.65
54	-10.19
55	-8.431
56	-17.88
57	-7.788
58	-7.788
59	-4.1
60	-12.31
61	-10.9
62	-13.35
63	-12.15
64	-7.98
65	-7.98
66	-14.16
67	-10.45
68	-12.66
69	-13.82
70	-21.71
71	-8.529
72	-11.29
73	-8.828
74	-18.3
75	-11.17
76	-13.55
77	-6.578
78	-11.09
79	-11.29
80	-11.58
81	-12.91
82	-12.91
83	-8.302
84	-9.829
85	-12.55
86	-12.55
87	-5.264
88	-5.264
89	-5.264
90	-5.264
91	-9.372
92	-9.372
93	-7.812
94	-7.812
95	-7.479
96	-4.638
97	-21.46
98	-7.049
99	-5.267
100	-15.08
101	-7.395
102	-15.03
103	-5.766
104	-5.081
105	-12.42
106	-11.22
107	-11.22
108	-12.01
109	-5.766
110	-15.59
111	-8.044
112	-8.044
113	-5.081
114	-12.84
115	-4.1
116	-4.1
117	-4.1
118	-10.86
119	-19.01
120	-6.999
121	-20.75
122	-6.578
123	-21.38
124	-17.45
125	-4.1
126	-8.777
127	-6.008
128	-23.26
129	-10.62
130	-7.201
131	-7.201
132	-7.812
133	-14.93
134	-8.152
135	-7.812
136	-7.338
137	-20.8
138	-11.37
139	-4.1
140	-4.1
141	-4.1
142	-4.1
143	-4.1
144	-7.163
145	-5.766
146	-9
147	-11.04
148	-12.28
149	-12.28
150	-7.766
151	-7.766
152	-12.57
153	-13.89
154	-10.19
155	-12.28
156	-12.28
157	-12.28
158	-12.28
159	-12.28
160	-12.28
161	-12.28
162	-4.395
163	-4.1
164	-7.812
165	-7.812
166	-13.79
167	-4.73
168	-4.611
169	-12.99
170	-12.99
171	-8.938
172	-14.16
173	-7.676
174	-7.812
175	-7.812
176	-12.88
177	-11.74
178	-8.217
179	-13.18
180	-5.264
181	-4.638
182	-4.638
183	-17.26
184	-17.26
185	-19.26
186	-4.395
187	-4.1
188	-4.1
189	-7.6
190	-4.1
191	-4.1
192	-10.69
193	-4.395
194	-4.1
195	-10.62
196	-4.1
197	-16.97
198	-10.69
199	-4.395
200	-4.1
201	-4.1
202	-7.6
203	-11.85
204	-18.74
205	-13.53
206	-15.03
207	-8.782
208	-4.73
209	-4.638
210	-4.638
211	-21.75
212	-14.03
213	-17.51
214	-14.19
215	-9.996
216	-5.127
217	-15.28
218	-18.01
219	-9.676
220	-5.766
221	-4.1
222	-4.504
223	-13.55
224	-9.72
225	-11.13
226	-8.257
227	-11.99
228	-12.11
229	-7.529
230	-10.4
231	-15.68
232	-4.611
233	-18.1
234	-15.92
235	-7.844
236	-19.19
237	-9.823
238	-20.17
239	-13.21
240	-5.766
241	-7.812
242	-16.08
243	-11.67
244	-16.58
245	-7.676
246	-11.83
247	-5.766
248	-11.83
249	-23.51
250	-11.02
251	-6.933
252	-17.61
253	-24.19
254	-12.41
255	-5.766
256	-21.22
257	-10.02
258	-11.07
259	-10.11
260	-20.08
261	-8.413
262	-17.02
263	-16.51
264	-4.395
265	-13.38
266	-15.05
267	-20.74
268	-22.2
269	-12.46
270	-4.504
271	-10.05
272	-4.611
273	-10.02
274	-15.1
275	-16.76
276	-7.788
277	-7.379
278	-7.194
279	-9.724
280	-13.06
281	-20.15
282	-19.99
283	-16.23
284	-15.11
285	-8.044
286	-8.106
287	-15.08
288	-15.67
289	-16.94
290	-7.807
291	-14.57
292	-12.72
293	-14.17
294	-5.766
