"","t641736153_Clostridium_perfringens","t637000117_Fusobacterium_nucleatum","t646564540_Lactobacillus_johnsonii","t645058712_Lactobacillus_gasseri","t639633029_Lactobacillus_delbrueckii","t650716045_Lactobacillus_acidophilus","t651053039_Lactobacillus_casei","t637000143_Lactobacillus_salivarius","t637000141_Lactobacillus_plantarum","t643886059_Lactobacillus_brevis","t2511231143_Leuconostoc_mesenteroides","t648231713_Lactococcus_lactis","t637000303_Streptococcus_thermophilus","t649989932_Enterococcus_faecalis","t649633011_Bacillus_subtilis","t640963015_Bifidobacterium_adolescentis","t649633018_Bifidobacterium_longum","t2511231063_Propionibacterium_acnes","t637000209_Porphyromonas_gingivalis","t645058788_Bacteroides_fragilis","t637000026_Bacteroides_thetaiotaomicron","t646862310_Campylobacter_jejuni","t637000341_Wolinella_succinogenes","t643348538_Desulfovibrio_desulfuricans","t640427143_Shigella_sonnei","t637000261_Shigella_boydii","t638341196_Shigella_dysenteriae","t646862326_Escherichia_coli","t637000265_Shigella_flexneri","t637000255_Salmonella_enterica","t647000299_Pseudomonas_aeruginosa"
"t641736153_Clostridium_perfringens",0,1341.417,1868.6957,1875.197,1996.4515,1863.4807,1586.5122,1574.5838,1551.1767,1709.2807,1874.5963,1609.9924,1733.3244,1420.2884,1168.579,2523.0913,2511.6859,2178.2887,2470.8095,2259.3921,2267.719,2297.5304,2174.1804,2074.025,2422.061117,2494.562417,2648.304117,2394.284787,2497.0448,2438.335,2085.565
"t637000117_Fusobacterium_nucleatum",1341.417,0,2131.7067,2138.208,2259.4625,2126.4917,1849.5232,1837.5948,1814.1877,1972.2917,2137.6073,1873.0034,1996.3354,1683.2994,1431.59,3006.2103,2994.8049,2661.4077,2953.9285,2742.5111,2750.838,2780.6494,2657.2994,2557.144,2905.180117,2977.681417,3131.423117,2877.403787,2980.1638,2921.454,2568.684
"t646564540_Lactobacillus_johnsonii",1868.6957,2131.7067,0,53.2699,315.8588,182.888,657.7495,746.0555,722.6484,880.7524,1046.068,1026.2841,1149.6161,836.5801,1239.8487,3533.489,3522.0836,3188.6864,3481.2072,3269.7898,3278.1167,3307.9281,3184.5781,3084.4227,3432.458817,3504.960117,3658.701817,3404.682487,3507.4425,3448.7327,3095.9627
"t645058712_Lactobacillus_gasseri",1875.197,2138.208,53.2699,0,322.3601,189.3893,664.2508,752.5568,729.1497,887.2537,1052.5693,1032.7854,1156.1174,843.0814,1246.35,3539.9903,3528.5849,3195.1877,3487.7085,3276.2911,3284.618,3314.4294,3191.0794,3090.924,3438.960117,3511.461417,3665.203117,3411.183787,3513.9438,3455.234,3102.464
"t639633029_Lactobacillus_delbrueckii",1996.4515,2259.4625,315.8588,322.3601,0,253.7932,785.5053,873.8113,850.4042,1008.5082,1173.8238,1154.0399,1277.3719,964.3359,1367.6045,3661.2448,3649.8394,3316.4422,3608.963,3397.5456,3405.8725,3435.6839,3312.3339,3212.1785,3560.214617,3632.715917,3786.457617,3532.438287,3635.1983,3576.4885,3223.7185
"t650716045_Lactobacillus_acidophilus",1863.4807,2126.4917,182.888,189.3893,253.7932,0,652.5345,740.8405,717.4334,875.5374,1040.853,1021.0691,1144.4011,831.3651,1234.6337,3528.274,3516.8686,3183.4714,3475.9922,3264.5748,3272.9017,3302.7131,3179.3631,3079.2077,3427.243817,3499.745117,3653.486817,3399.467487,3502.2275,3443.5177,3090.7477
"t651053039_Lactobacillus_casei",1586.5122,1849.5232,657.7495,664.2508,785.5053,652.5345,0,463.872,440.4649,598.5689,763.8845,744.1006,867.4326,554.3966,957.6652,3251.3055,3239.9001,2906.5029,3199.0237,2987.6063,2995.9332,3025.7446,2902.3946,2802.2392,3150.275317,3222.776617,3376.518317,3122.498987,3225.259,3166.5492,2813.7792
"t637000143_Lactobacillus_salivarius",1574.5838,1837.5948,746.0555,752.5568,873.8113,740.8405,463.872,0,367.8509,525.9549,691.2705,732.1722,855.5042,542.4682,945.7368,3239.3771,3227.9717,2894.5745,3187.0953,2975.6779,2984.0048,3013.8162,2890.4662,2790.3108,3138.346917,3210.848217,3364.589917,3110.570587,3213.3306,3154.6208,2801.8508
"t637000141_Lactobacillus_plantarum",1551.1767,1814.1877,722.6484,729.1497,850.4042,717.4334,440.4649,367.8509,0,396.562,607.0724,708.7651,832.0971,519.0611,922.3297,3215.97,3204.5646,2871.1674,3163.6882,2952.2708,2960.5977,2990.4091,2867.0591,2766.9037,3114.939817,3187.441117,3341.182817,3087.163487,3189.9235,3131.2137,2778.4437
"t643886059_Lactobacillus_brevis",1709.2807,1972.2917,880.7524,887.2537,1008.5082,875.5374,598.5689,525.9549,396.562,0,765.1764,866.8691,990.2011,677.1651,1080.4337,3374.074,3362.6686,3029.2714,3321.7922,3110.3748,3118.7017,3148.5131,3025.1631,2925.0077,3273.043817,3345.545117,3499.286817,3245.267487,3348.0275,3289.3177,2936.5477
